ZIP5,POPULATION
60626,59251
60660,47726
60640,74030
60657,66789
60610,47513
60613,50548
60647,98769
60625,91351
60614,65474
60651,77583
60659,39155
60639,92951
60618,98147
60623,108144
60615,45096
60645,44197
60641,73824
60649,54823
60611,26522
60622,76015
60601,5591
60644,59059
60653,34502
60661,4382
60629,113984
60608,92472
60616,47073
60636,51451
60624,45647
60637,57090
60621,47514
60632,87577
60619,74963
60620,85771
60630,54781
60634,74164
60609,79469
60612,37990
60652,39126
60628,87827
60643,52568
60631,28832
60656,27129
60617,96288
60655,29138
60607,15552
60606,1682
60605,12423
60646,27016
60638,55788
60603,378
60633,13262
60602,70
60604,78
60654,7
